SYMBOL,logFC
CHRM1,1.958025192
CHRM2,1.597171212
CHRM3,0.25621766
CHRM4,0.815196506
CHRM5,1.137953639
ADRA1A,-0.515735805
ADRA1B,-1.552579044
ADRA1D,-0.692947759
ADRA2A,0.142757785
ADRA2B,-0.342124257
ADRA2C,0.324748218
ADRB1,1.21103683
ADRB2,1.024738825
ADRB3,0.114386614
DRD1,-0.58204171
DRD2,-0.033042848
DRD3,-1.485397694
DRD4,-1.032048591
DRD5,0.842281491
HRH1,-0.4746668
HRH2,2.018639413
HRH3,0.253711865
HRH4,0.243769735
HTR1A,0.664168196
HTR1B,0.780691685
HTR1D,1.556309223
HTR1E,-0.493116602
HTR1F,0.121772395
HTR2A,-0.131888952
HTR2B,-2.173275015
HTR2C,-1.073299436
HTR4,0.388883361
HTR5A,-0.733035641
HTR6,-0.964904697
HTR7,0.47504638
TAAR9,-3.125921237
TAAR1,1.543669058
TAAR8,0.00050146
TAAR5,1.198052101
TAAR2,0.893124511
AGTR1,-0.381108998
AGTR2,-0.76628008
NMB,0.6458845
GRP,-2.361715436
NMBR,-2.218575429
GRPR,-0.491700389
BRS3,-0.959924566
BDKRB1,-1.40614893
BDKRB2,-0.17363976
C5AR1,0.240439268
C3AR1,-0.459028135
FPR1,-0.454406406
FPR3,-1.236722447
FPR2,-0.9221314
APLN,-0.783065435
APLNR,-1.014631355
CCK,1.528616082
CCKAR,-1.187613344
CCKBR,-0.247535313
EDN2,0.241837357
EDN3,-0.133610857
EDNRA,-0.136279736
EDNRB,-0.390964998
MC1R,0.592557895
MC2R,-0.471373808
MC3R,0.000713129
MC4R,-0.152493139
MC5R,-0.085066035
NPY1R,-1.247157986
NPY2R,-0.274306825
NPY5R,-0.339733647
GPR83,1.226824685
PYY,-2.530851071
PPY,-0.435995505
NTS,3.559766066
NTSR1,0.428990744
NTSR2,0.01278227
OPRD1,-1.340885564
OPRK1,-0.928186803
OPRM1,-0.936767252
OPRL1,0.782589149
CORT,-0.800267574
SSTR1,-1.258039441
SSTR2,0.954796737
SSTR3,-1.029344072
SSTR4,-0.639765386
SSTR5,0.968478989
TAC1,-1.981735284
TAC3,1.302528933
TACR1,0.966720598
TACR2,-0.625650331
TACR3,1.764249366
AVPR1A,-0.994238005
AVPR1B,0.476554145
AVPR2,-2.520159395
OXTR,-0.564421767
GAL,-0.669222526
GALR1,-0.776836892
GALR2,-0.197944477
GALR3,-0.491437136
F2,-0.37128209
CTSG,0.200360283
GZMA,-1.091609752
PLG,-1.996001237
PRSS3,-0.401059429
PRSS2,-0.509278127
F2R,1.208459469
F2RL1,1.802140259
F2RL2,2.232848449
F2RL3,0.303609456
PARD3,0.186498363
HCRT,0.130329606
HCRTR1,1.606331854
HCRTR2,0.965692663
NPFF,1.153717826
NPFFR1,2.08824156
NPFFR2,-1.016929426
UTS2,-0.263876703
UTS2R,-0.046202859
NMU,-0.029079517
NMUR1,-0.104662669
NMUR2,-0.282358343
MCHR1,-0.57394195
MCHR2,0.114888583
FSHB,1.168051039
FSHR,0.159619723
TSHB,-0.709134095
LHCGR,-0.61885552
TSHR,0.283117263
PTGDR,2.580581247
PTGER1,-1.348965063
PTGER2,1.126924086
PTGER3,-1.018484875
PTGER4,0.837612659
PTGFR,1.700098446
PTGIR,0.864502881
TBXA2R,0.486735112
ADORA1,-0.202009638
ADORA2B,-0.086566317
ADORA3,-1.958966317
P2RY2,0.655794944
P2RY1,-0.795294768
P2RY4,0.557390583
P2RY6,0.690725673
LPAR6,1.358678997
P2RY10,0.672950079
P2RY14,-0.5500682
P2RY8,-1.097214469
P2RY13,2.408587977
LPAR4,0.164264279
GPR35,0.084324584
CNR1,0.061538739
CNR2,1.08276037
PTAFR,-0.602965848
GNRHR,0.426367617
TRH,-0.591310123
TRHR,1.450696235
GHSR,-0.774189659
KISS1R,-1.413858341
MTNR1A,0.101969124
MTNR1B,0.181072985
GPR50,-0.965522303
S1PR1,-0.09437314
LPAR1,-0.175751932
S1PR3,0.340503709
LPAR2,0.785375671
S1PR2,0.034526899
S1PR4,0.696535692
LPAR3,0.15227794
S1PR5,-1.163902992
LTB4R,-0.098107923
LTB4R2,-0.395500548
MAS1,-0.329719209
RXFP1,0.06923762
RXFP2,-1.698269405
RXFP3,1.159899962
CYSLTR1,0.024979671
CYSLTR2,0.018182417
CALCR,2.408989354
CALCRL,1.70644712
UCN3,-0.52996892
UCN2,-0.529181896
CRHR1,0.399930944
CRHR2,-0.93572317
GIPR,-0.787454293
GLP1R,-0.317741608
GLP2R,1.161976766
GCGR,0.139671672
GHRH,-0.058983573
GHRHR,1.423562367
PTH,-1.132916023
PTH1R,0.223431673
PTH2R,0.413399071
ADCYAP1R1,-0.556913472
SCT,-1.901973161
SCTR,-1.192732631
VIP,0.291573952
VIPR1,0.774290261
VIPR2,-0.107095503
GRM1,-0.730361565
GRM2,-1.093927747
GRM3,-1.063042731
GRM4,0.021156308
GRM5,-1.809183634
GRM6,-0.321524037
GRM7,0.343676546
GRM8,0.44361321
GABBR1,0.063742937
